produto,classificao_produto,id_produto,nom_municipio,cod_ibge,uf,regiao,ano,mes,data_inicial_final_semana,semana,dsc_nivel_comercializacao,valor_produto_kg,data_inicial,data_final
ADMINISTRADOR RURAL      ,SEM ENCARGOS        ,9241,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,07-07-2025 - 11-07-2025,2,PREÇO PAGO PELO PROD,,2025-07-07,2025-07-11
ADMINISTRADOR RURAL      ,SEM ENCARGOS        ,9241,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,24-11-2025 - 28-11-2025,4,PREÇO PAGO PELO PROD,,2025-11-24,2025-11-28
ADMINISTRADOR RURAL      ,SEM ENCARGOS        ,9241,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,10-11-2025 - 14-11-2025,2,PREÇO PAGO PELO PROD,,2025-11-10,2025-11-14
ADMINISTRADOR RURAL      ,SEM ENCARGOS        ,9241,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,03-11-2025 - 07-11-2025,1,PREÇO PAGO PELO PROD,,2025-11-03,2025-11-07
ADMINISTRADOR RURAL      ,SEM ENCARGOS        ,9241,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,17-11-2025 - 21-11-2025,3,PREÇO PAGO PELO PROD,,2025-11-17,2025-11-21
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,3,24-03-2025 - 28-03-2025,4,PREÇO RECEBIDO P/ PR,24.3,2025-03-24,2025-03-28
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,3,17-03-2025 - 21-03-2025,3,PREÇO RECEBIDO P/ PR,24.0,2025-03-17,2025-03-21
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,3,10-03-2025 - 14-03-2025,2,PREÇO RECEBIDO P/ PR,23.0,2025-03-10,2025-03-14
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,3,03-03-2025 - 07-03-2025,1,PREÇO RECEBIDO P/ PR,22.0,2025-03-03,2025-03-07
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,3,17-03-2025 - 21-03-2025,3,PREÇO RECEBIDO P/ PR,22.0,2025-03-17,2025-03-21
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,3,24-03-2025 - 28-03-2025,4,PREÇO RECEBIDO P/ PR,21.3,2025-03-24,2025-03-28
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,3,10-03-2025 - 14-03-2025,2,PREÇO RECEBIDO P/ PR,21.0,2025-03-10,2025-03-14
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,3,03-03-2025 - 07-03-2025,1,PREÇO RECEBIDO P/ PR,20.0,2025-03-03,2025-03-07
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,3,10-03-2025 - 14-03-2025,2,PREÇO RECEBIDO P/ PR,27.0,2025-03-10,2025-03-14
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,3,24-03-2025 - 28-03-2025,4,PREÇO RECEBIDO P/ PR,28.3,2025-03-24,2025-03-28
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,3,17-03-2025 - 21-03-2025,3,PREÇO RECEBIDO P/ PR,28.0,2025-03-17,2025-03-21
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,3,03-03-2025 - 07-03-2025,1,PREÇO RECEBIDO P/ PR,26.0,2025-03-03,2025-03-07
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,3,03-03-2025 - 07-03-2025,1,PREÇO RECEBIDO P/ PR,24.0,2025-03-03,2025-03-07
