produto,classificao_produto,id_produto,nom_municipio,cod_ibge,uf,regiao,ano,mes,data_inicial_final_semana,semana,dsc_nivel_comercializacao,valor_produto_kg,data_inicial,data_final
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,07-07-2025 - 11-07-2025,2,PREÇO RECEBIDO P/ PR,25.6,2025-07-07,2025-07-11
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,07-07-2025 - 11-07-2025,2,PREÇO RECEBIDO P/ PR,18.6,2025-07-07,2025-07-11
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,14-07-2025 - 18-07-2025,3,PREÇO RECEBIDO P/ PR,16.8,2025-07-14,2025-07-18
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,21-07-2025 - 25-07-2025,4,PREÇO RECEBIDO P/ PR,16.0,2025-07-21,2025-07-25
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,28-07-2025 - 01-08-2025,5,PREÇO RECEBIDO P/ PR,13.0,2025-07-28,2025-08-01
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,30-06-2025 - 04-07-2025,1,PREÇO RECEBIDO P/ PR,23.6,2025-06-30,2025-07-04
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,07-07-2025 - 11-07-2025,2,PREÇO RECEBIDO P/ PR,23.3,2025-07-07,2025-07-11
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,14-07-2025 - 18-07-2025,3,PREÇO RECEBIDO P/ PR,22.3,2025-07-14,2025-07-18
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,21-07-2025 - 25-07-2025,4,PREÇO RECEBIDO P/ PR,22.0,2025-07-21,2025-07-25
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,30-06-2025 - 04-07-2025,1,PREÇO RECEBIDO P/ PR,18.3,2025-06-30,2025-07-04
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,28-07-2025 - 01-08-2025,5,PREÇO RECEBIDO P/ PR,18.6,2025-07-28,2025-08-01
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,14-07-2025 - 18-07-2025,3,PREÇO RECEBIDO P/ PR,25.0,2025-07-14,2025-07-18
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,21-07-2025 - 25-07-2025,4,PREÇO RECEBIDO P/ PR,24.0,2025-07-21,2025-07-25
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,8,25-08-2025 - 29-08-2025,4,PREÇO RECEBIDO P/ PR,18.6,2025-08-25,2025-08-29
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,8,18-08-2025 - 22-08-2025,3,PREÇO RECEBIDO P/ PR,21.3,2025-08-18,2025-08-22
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,8,04-08-2025 - 08-08-2025,1,PREÇO RECEBIDO P/ PR,22.3,2025-08-04,2025-08-08
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,8,11-08-2025 - 15-08-2025,2,PREÇO RECEBIDO P/ PR,12.3,2025-08-11,2025-08-15
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,8,04-08-2025 - 08-08-2025,1,PREÇO RECEBIDO P/ PR,12.3,2025-08-04,2025-08-08
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,8,25-08-2025 - 29-08-2025,4,PREÇO RECEBIDO P/ PR,11.3,2025-08-25,2025-08-29
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,8,18-08-2025 - 22-08-2025,3,PREÇO RECEBIDO P/ PR,11.0,2025-08-18,2025-08-22
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,8,25-08-2025 - 29-08-2025,4,PREÇO RECEBIDO P/ PR,13.3,2025-08-25,2025-08-29
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,8,18-08-2025 - 22-08-2025,3,PREÇO RECEBIDO P/ PR,14.0,2025-08-18,2025-08-22
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,8,04-08-2025 - 08-08-2025,1,PREÇO RECEBIDO P/ PR,15.3,2025-08-04,2025-08-08
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,8,11-08-2025 - 15-08-2025,2,PREÇO RECEBIDO P/ PR,15.3,2025-08-11,2025-08-15
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,8,11-08-2025 - 15-08-2025,2,PREÇO RECEBIDO P/ PR,22.3,2025-08-11,2025-08-15
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,8,18-08-2025 - 22-08-2025,3,PREÇO RECEBIDO P/ PR,16.0,2025-08-18,2025-08-22
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,8,25-08-2025 - 29-08-2025,4,PREÇO RECEBIDO P/ PR,16.0,2025-08-25,2025-08-29
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,8,04-08-2025 - 08-08-2025,1,PREÇO RECEBIDO P/ PR,18.0,2025-08-04,2025-08-08
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,8,11-08-2025 - 15-08-2025,2,PREÇO RECEBIDO P/ PR,18.0,2025-08-11,2025-08-15
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,19.0,2025-09-01,2025-09-05
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,15.5,2025-09-15,2025-09-19
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,13.0,2025-09-22,2025-09-26
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,13.0,2025-09-08,2025-09-12
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,13.0,2025-09-01,2025-09-05
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,12.67,2025-09-15,2025-09-19
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,11.0,2025-09-22,2025-09-26
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,11.0,2025-09-08,2025-09-12
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,11.0,2025-09-01,2025-09-05
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,19.0,2025-09-08,2025-09-12
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,19.17,2025-09-15,2025-09-19
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,10.83,2025-09-15,2025-09-19
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,18.0,2025-09-22,2025-09-26
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,16.0,2025-09-22,2025-09-26
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,16.0,2025-09-08,2025-09-12
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,16.0,2025-09-01,2025-09-05
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,10,06-10-2025 - 10-10-2025,2,PREÇO RECEBIDO P/ PR,14.0,2025-10-06,2025-10-10
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,10,20-10-2025 - 24-10-2025,4,PREÇO RECEBIDO P/ PR,13.0,2025-10-20,2025-10-24
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,10,13-10-2025 - 17-10-2025,3,PREÇO RECEBIDO P/ PR,13.0,2025-10-13,2025-10-17
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,10,06-10-2025 - 10-10-2025,2,PREÇO RECEBIDO P/ PR,16.0,2025-10-06,2025-10-10
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,10,29-09-2025 - 03-10-2025,1,PREÇO RECEBIDO P/ PR,20.0,2025-09-29,2025-10-03
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,10,13-10-2025 - 17-10-2025,3,PREÇO RECEBIDO P/ PR,18.0,2025-10-13,2025-10-17
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,10,20-10-2025 - 24-10-2025,4,PREÇO RECEBIDO P/ PR,18.0,2025-10-20,2025-10-24
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,10,27-10-2025 - 31-10-2025,5,PREÇO RECEBIDO P/ PR,18.0,2025-10-27,2025-10-31
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,10,06-10-2025 - 10-10-2025,2,PREÇO RECEBIDO P/ PR,20.0,2025-10-06,2025-10-10
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,10,29-09-2025 - 03-10-2025,1,PREÇO RECEBIDO P/ PR,14.0,2025-09-29,2025-10-03
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,10,20-10-2025 - 24-10-2025,4,PREÇO RECEBIDO P/ PR,16.0,2025-10-20,2025-10-24
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,10,13-10-2025 - 17-10-2025,3,PREÇO RECEBIDO P/ PR,16.0,2025-10-13,2025-10-17
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,10,29-09-2025 - 03-10-2025,1,PREÇO RECEBIDO P/ PR,12.0,2025-09-29,2025-10-03
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,10,13-10-2025 - 17-10-2025,3,PREÇO RECEBIDO P/ PR,11.0,2025-10-13,2025-10-17
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,10,20-10-2025 - 24-10-2025,4,PREÇO RECEBIDO P/ PR,11.0,2025-10-20,2025-10-24
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,10,27-10-2025 - 31-10-2025,5,PREÇO RECEBIDO P/ PR,11.0,2025-10-27,2025-10-31
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,10,29-09-2025 - 03-10-2025,1,PREÇO RECEBIDO P/ PR,16.0,2025-09-29,2025-10-03
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,10,27-10-2025 - 31-10-2025,5,PREÇO RECEBIDO P/ PR,15.0,2025-10-27,2025-10-31
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,10,06-10-2025 - 10-10-2025,2,PREÇO RECEBIDO P/ PR,12.0,2025-10-06,2025-10-10
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,10,27-10-2025 - 31-10-2025,5,PREÇO RECEBIDO P/ PR,13.0,2025-10-27,2025-10-31
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,17-11-2025 - 21-11-2025,3,PREÇO RECEBIDO P/ PR,9.83,2025-11-17,2025-11-21
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,24-11-2025 - 28-11-2025,4,PREÇO RECEBIDO P/ PR,10.0,2025-11-24,2025-11-28
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,10-11-2025 - 14-11-2025,2,PREÇO RECEBIDO P/ PR,10.66,2025-11-10,2025-11-14
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,03-11-2025 - 07-11-2025,1,PREÇO RECEBIDO P/ PR,11.0,2025-11-03,2025-11-07
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,03-11-2025 - 07-11-2025,1,PREÇO RECEBIDO P/ PR,17.0,2025-11-03,2025-11-07
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,24-11-2025 - 28-11-2025,4,PREÇO RECEBIDO P/ PR,16.66,2025-11-24,2025-11-28
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,10-11-2025 - 14-11-2025,2,PREÇO RECEBIDO P/ PR,16.63,2025-11-10,2025-11-14
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,17-11-2025 - 21-11-2025,3,PREÇO RECEBIDO P/ PR,15.67,2025-11-17,2025-11-21
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,03-11-2025 - 07-11-2025,1,PREÇO RECEBIDO P/ PR,15.0,2025-11-03,2025-11-07
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,24-11-2025 - 28-11-2025,4,PREÇO RECEBIDO P/ PR,14.66,2025-11-24,2025-11-28
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,10-11-2025 - 14-11-2025,2,PREÇO RECEBIDO P/ PR,14.33,2025-11-10,2025-11-14
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,17-11-2025 - 21-11-2025,3,PREÇO RECEBIDO P/ PR,13.67,2025-11-17,2025-11-21
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,24-11-2025 - 28-11-2025,4,PREÇO RECEBIDO P/ PR,12.5,2025-11-24,2025-11-28
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,10-11-2025 - 14-11-2025,2,PREÇO RECEBIDO P/ PR,12.16,2025-11-10,2025-11-14
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,17-11-2025 - 21-11-2025,3,PREÇO RECEBIDO P/ PR,11.67,2025-11-17,2025-11-21
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,03-11-2025 - 07-11-2025,1,PREÇO RECEBIDO P/ PR,13.0,2025-11-03,2025-11-07
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,12,01-12-2025 - 05-12-2025,1,PREÇO RECEBIDO P/ PR,11.66,2025-12-01,2025-12-05
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,12,29-12-2025 - 02-01-2026,5,PREÇO RECEBIDO P/ PR,16.0,2025-12-29,2026-01-02
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,12,22-12-2025 - 26-12-2025,4,PREÇO RECEBIDO P/ PR,16.0,2025-12-22,2025-12-26
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,12,15-12-2025 - 19-12-2025,3,PREÇO RECEBIDO P/ PR,16.0,2025-12-15,2025-12-19
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,12,01-12-2025 - 05-12-2025,1,PREÇO RECEBIDO P/ PR,15.83,2025-12-01,2025-12-05
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,12,08-12-2025 - 12-12-2025,2,PREÇO RECEBIDO P/ PR,15.66,2025-12-08,2025-12-12
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,12,01-12-2025 - 05-12-2025,1,PREÇO RECEBIDO P/ PR,14.5,2025-12-01,2025-12-05
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,12,22-12-2025 - 26-12-2025,4,PREÇO RECEBIDO P/ PR,14.0,2025-12-22,2025-12-26
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,12,15-12-2025 - 19-12-2025,3,PREÇO RECEBIDO P/ PR,14.0,2025-12-15,2025-12-19
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,12,08-12-2025 - 12-12-2025,2,PREÇO RECEBIDO P/ PR,14.0,2025-12-08,2025-12-12
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,12,22-12-2025 - 26-12-2025,4,PREÇO RECEBIDO P/ PR,12.0,2025-12-22,2025-12-26
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,12,15-12-2025 - 19-12-2025,3,PREÇO RECEBIDO P/ PR,12.0,2025-12-15,2025-12-19
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,12,08-12-2025 - 12-12-2025,2,PREÇO RECEBIDO P/ PR,12.0,2025-12-08,2025-12-12
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,12,22-12-2025 - 26-12-2025,4,PREÇO RECEBIDO P/ PR,10.0,2025-12-22,2025-12-26
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,12,15-12-2025 - 19-12-2025,3,PREÇO RECEBIDO P/ PR,10.0,2025-12-15,2025-12-19
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,12,08-12-2025 - 12-12-2025,2,PREÇO RECEBIDO P/ PR,10.0,2025-12-08,2025-12-12
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,12,01-12-2025 - 05-12-2025,1,PREÇO RECEBIDO P/ PR,9.66,2025-12-01,2025-12-05
ALLY                     ,600 G/KG METSULFUROM,4025,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,14-07-2025 - 18-07-2025,3,PREÇO PAGO PELO PROD,915.0,2025-07-14,2025-07-18
ALLY                     ,600 G/KG METSULFUROM,4025,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,07-07-2025 - 11-07-2025,2,PREÇO PAGO PELO PROD,915.0,2025-07-07,2025-07-11
ALLY                     ,600 G/KG METSULFUROM,4025,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,30-06-2025 - 04-07-2025,1,PREÇO PAGO PELO PROD,915.0,2025-06-30,2025-07-04
ALLY                     ,600 G/KG METSULFUROM,4025,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,28-07-2025 - 01-08-2025,5,PREÇO PAGO PELO PROD,915.0,2025-07-28,2025-08-01
ALLY                     ,600 G/KG METSULFUROM,4025,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,21-07-2025 - 25-07-2025,4,PREÇO PAGO PELO PROD,915.0,2025-07-21,2025-07-25
ALLY                     ,600 G/KG METSULFUROM,4025,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,24-11-2025 - 28-11-2025,4,PREÇO PAGO PELO PROD,1025.0,2025-11-24,2025-11-28
ALLY                     ,600 G/KG METSULFUROM,4025,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,17-11-2025 - 21-11-2025,3,PREÇO PAGO PELO PROD,1025.0,2025-11-17,2025-11-21
ALLY                     ,600 G/KG METSULFUROM,4025,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,10-11-2025 - 14-11-2025,2,PREÇO PAGO PELO PROD,1025.0,2025-11-10,2025-11-14
ALLY                     ,600 G/KG METSULFUROM,4025,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,03-11-2025 - 07-11-2025,1,PREÇO PAGO PELO PROD,1025.0,2025-11-03,2025-11-07
AZIMUT                   ,AZOXISTROBINA+TEBUCO,11540,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,30-06-2025 - 04-07-2025,1,PREÇO PAGO PELO PROD,66.08,2025-06-30,2025-07-04
AZIMUT                   ,AZOXISTROBINA+TEBUCO,11540,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,07-07-2025 - 11-07-2025,2,PREÇO PAGO PELO PROD,66.08,2025-07-07,2025-07-11
AZIMUT                   ,AZOXISTROBINA+TEBUCO,11540,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,14-07-2025 - 18-07-2025,3,PREÇO PAGO PELO PROD,66.08,2025-07-14,2025-07-18
